,Movie_name,movie_type,Director,Actors,Movie_Description,Release_Year,Time_duration'M',Imdb_Rating,Imdb_votes,Meta_score,Decade
102, Monty Python and the Holy Grail,PG,sTerry GilliamTerry Jones,Graham ChapmanJohn CleeseEric Idle,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",1975,91,8.2,587000,91.0,1970
103, The Deer Hunter,R,Michael Cimino,Robert De NiroChristopher WalkenJohn Cazale,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,1978,120,8.1,375000,90.0,1970
104, Scarface,R,Brian De Palma,Al PacinoMichelle PfeifferSteven Bauer,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.",1983,170,8.3,962000,65.0,1980
105, A Clockwork Orange,R,Stanley Kubrick,Malcolm McDowellPatrick MageeMichael Bates,Alex DeLarge and his droogs barbarize a decaying near-future.,1971,136,8.2,910000,77.0,1970
106, The Elephant Man,PG,David Lynch,Anthony HopkinsJohn HurtAnne Bancroft,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",1980,124,8.2,272000,78.0,1980
107, Papillon,R,Franklin J. Schaffner,Steve McQueenDustin HoffmanVictor Jory,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape.",1973,151,8.0,142000,58.0,1970
108, Lawrence of Arabia,PG,David Lean,Peter O'TooleAlec GuinnessAnthony Quinn,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",1962,120,8.3,328000,100.0,1960
109, East of Eden,PG,Elia Kazan,James DeanRaymond MasseyJulie Harris,"Two brothers in 1910s California struggle to maintain the favor of their affectionate but strict, Bible-toting father as an old secret about their long-absent mother comes to light.",1955,118,7.8,50000,72.0,1950
110, Hotel Rwanda,PG-13,Terry George,Don CheadleSophie OkonedoJoaquin Phoenix,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",2004,121,8.1,383000,79.0,2000
111, Dances with Wolves,PG-13,Kevin Costner,Kevin CostnerMary McDonnellGraham Greene,A lieutenant assigned to a remote Civil War outpost starts questioning his purpose after making contact with a neighboring Sioux settlement.,1990,120,8.0,300000,72.0,1990
112, Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,Gore Verbinski,Johnny DeppGeoffrey RushOrlando Bloom,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",2003,143,8.1,1300000,63.0,2000
113, Batman Begins,PG-13,Christopher Nolan,Christian BaleMichael CaineKen Watanabe,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",2005,140,8.2,323500,70.0,2000
